name,manufacturer
디맥정30000아이유(농축콜레칼시페롤과립),(주)다림바이오텍
상위정(반하사심탕),한솔신약(주)
셀마겐정(알마게이트),(주)메디카코리아
네오팻정50밀리그램(라코사미드),환인제약(주)
알피바스타틴정10mg(아토르바스타틴칼슘수화물),(주)알피바이오
유니시움정20mg(에스오메프라졸마그네슘삼수화물),한국유니온제약(주)
페로딜정(이펜프로딜타르타르산염),영풍제약(주)
메아릴정(글리메피리드),(주)중헌제약
옥사제핀정300밀리그램(옥스카르바제핀),명인제약(주)
한시움정40mg(에스오메프라졸마그네슘삼수화물),한올바이오파마(주)
헬릭소엠50밀리그람주,(주)다림바이오텍
참염산시프로플록사신정,유니메드제약(주)
제이로수정20밀리그램(로수바스타틴칼슘),제일약품(주)
오구맥정375밀리그램(아목시실린·클라불란산칼륨(2:1)),진양제약(주)
주블리아외용액(에피나코나졸),동아에스티(주)
아세롬정100밀리그램(아세클로페낙),풍림무약(주)
알피레보플록사신정250mg(레보플록사신수화물),(주)알피바이오
에스아로딥정2.5밀리그램(에스암로디핀베실산염2.5수화물),(주)일화
하이도네정5밀리그램(도네페질염산염수화물),(주)테라젠이텍스
징코미란정40mg(은행엽건조엑스)(수출용),(주)씨엠지제약
헤파토스시럽,조아제약(주)
베로틸정20밀리그램(옥틸로늄브롬화물),(주)에이프로젠바이오로직스
에페젠정,(주)휴온스메디텍
벤포비타100정,(주)넥스팜코리아
엑스콜디정,(유)한풍제약
트레논연질캡슐5밀리그램(이소트레티노인),(주)동구바이오제약
사포그정(사르포그렐레이트염산염),(주)이든파마
다모페시아정(피나스테리드),(주)메디카코리아
파바틴정10밀리그램(프라바스타틴나트륨)(수출용),삼천당제약(주)
러츠날캡슐(탐스로신염산염),알보젠코리아(주)
유니레보정(레보플록사신수화물),구주제약(주)
타쎄바정150밀리그램(엘로티닙염산염),(주)보령
아세펙트캡슐(아세브로필린),삼진제약(주)
모빅스캄캡슐(멜록시캄),영풍제약(주)
